gene_id,gene_symbol,pathway_id,pathway_name,degree
hsa:27294,DHDH,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:28970,C11orf54,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:2990,GUSB,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),5
hsa:441282,AKR1B15,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),8
hsa:51084,CRYL1,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),4
hsa:51181,DCXR,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),4
hsa:54490,UGT2B28; UDP-glucuronosyltransferase 2B28 isoform 1 precursor,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54575,UGT1A10,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54576,UGT1A8,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54577,UGT1A7,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54578,UGT1A6,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54579,UGT1A5,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54600,UGT1A9,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54657,UGT1A4,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54658,UGT1A1,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:54659,UGT1A3,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:55277,FGGY; FGGY carbohydrate kinase domain-containing protein isoform b,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
hsa:57016,AKR1B10,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),8
hsa:574537,UGT2A2,path:hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3
