pathway,gene_symbol,entrez,tdc_idx,weight,matched_via
EGFR,PLEK2,26499,16001,3.43925696360287,symbol
EGFR,CLDN8,9073,22058,-2.018707848487331,symbol
EGFR,ZNF224,7767,20767,-1.3973098554739216,symbol
EGFR,CBARP,255057,19816,0.9794424786218808,symbol
EGFR,RNF146,81847,8223,-2.1708211640021235,symbol
EGFR,EAPP,55837,15802,-2.2398997303308854,symbol
EGFR,BSDC1,55108,518,-1.2693689680961624,symbol
EGFR,RAB33B,83452,5947,-1.7836428159636903,symbol
EGFR,MBTPS1,8720,17959,-1.4066013754786937,symbol
EGFR,MDFI,4188,7803,1.1601090725994416,symbol
EGFR,KCNF1,3754,2464,1.5758757301367112,symbol
EGFR,RBM48,84060,9078,-1.0537742383023745,symbol
EGFR,KLHDC2,23588,15864,-3.593929654559083,symbol
EGFR,AEN,64782,16979,2.987402897428214,symbol
EGFR,PWP2,5822,22221,1.1724883837862146,symbol
EGFR,DYNC2LI1,51626,2689,-1.4302386019583069,symbol
EGFR,CCDC28A,25901,8304,-3.1018147713203996,symbol
EGFR,EFHC1,114327,7915,-2.0346036601314106,symbol
EGFR,XRCC3,7517,16290,1.487957075070578,symbol
EGFR,SPATA2L,124044,18047,1.7564976683917295,symbol
EGFR,SLC45A3,85414,2044,1.902438901805597,symbol
EGFR,WDR19,57728,5478,-1.4937894240640512,symbol
EGFR,TRH,7200,4805,0.7719646613807655,symbol
EGFR,TMEM59,9528,809,-1.864066426580397,symbol
EGFR,CEPT1,10390,1164,-0.9945937341242642,symbol
EGFR,ZNF75D,7626,23559,-1.3158194734458744,symbol
EGFR,TUBB4B,10383,11426,4.084510207636249,symbol
EGFR,HMOX2,3163,17286,1.7196379725677713,symbol
EGFR,ODC1,4953,2458,4.678550828963831,symbol
EGFR,EXD3,54932,11433,0.7799245134709468,symbol
EGFR,RCOR3,55758,2096,-1.6707723934808358,symbol
EGFR,ZNF350,59348,21078,-1.2635000674740438,symbol
EGFR,DCAF13,25879,10247,1.434232957050236,symbol
EGFR,N4BP2L2,10443,15210,-1.5940146460304414,symbol
EGFR,AJUBA,84962,15701,-3.1932646626203125,symbol
EGFR,MMUT,4594,7896,-1.6908695700558949,alias
EGFR,CFL1,1072,13237,1.3292454786626662,symbol
EGFR,GPR75,10936,2737,1.0370395152926324,symbol
EGFR,TRIM52,84851,7261,-2.012160331907214,symbol
EGFR,ZNF451,26036,7949,-1.0560068807443646,symbol
EGFR,GRAMD1C,54762,4653,-2.7970919926897237,symbol
EGFR,C2CD5,9847,14157,-1.939043070159012,symbol
EGFR,ZNF571,51276,20571,-1.903966941985998,symbol
EGFR,FAM200C,63920,7087,-3.1168487742826496,alias
EGFR,PTHLH,5744,14189,3.6139766530130992,symbol
EGFR,CARF,79800,3619,-1.6012840814043696,symbol
EGFR,SH2D5,400745,325,2.4321329761194748,symbol
EGFR,ZSCAN31,64288,7513,-3.1000917088831597,symbol
EGFR,MYEOV,26579,13338,1.7266324343740325,symbol
EGFR,PNISR,25957,8087,-1.5953880431843823,symbol
EGFR,TTC33,23548,6330,-1.3844089815723284,symbol
EGFR,DSPP,1834,5747,2.3503871126951883,symbol
EGFR,ANAPC16,119504,11878,-1.821018358054228,symbol
EGFR,EGR3,1960,9810,6.271415501113189,symbol
