idx,gene_symbol,entrez
401,STMN1,3925
402,PAFAH2,5051
403,EXTL1,2134
404,SLC30A2,7780
405,TRIM63,84676
406,PDIK1L,149420
407,FAM110D,79927
408,ZNF593,51042
409,CNKSR1,10256
410,CATSPER4,378807
411,LOC101928303,101928303
412,CEP85,64793
413,SH3BGRL3,83442
414,UBXN11,91544
415,CD52,1043
416,AIM1L,55057
417,ZNF683,257101
418,LIN28A,79727
419,DHDDS,79947
420,LOC101928324,101928324
421,HMGN2,3151
422,RPS6KA1,6195
423,ARID1A,8289
424,PIGV,55650
425,ZDHHC18,84243
426,SFN,2810
427,GPN2,54707
428,GPATCH3,63906
429,NR0B2,8431
430,NUDC,10726
431,KDF1,126695
432,TRNP1,388610
433,FAM46B,115572
434,SLC9A1,6548
435,WDTC1,23038
436,TMEM222,84065
437,ACTG1P20,644961
438,SYTL1,84958
439,MAP3K6,9064
440,FCN3,8547
441,CD164L2,388611
442,GPR3,2827
443,WASF2,10163
444,AHDC1,27245
445,FGR,2268
446,IFI6,2537
447,FAM76A,199870
448,STX12,23673
449,PPP1R8,5511
450,SCARNA1,677774
451,THEMIS2,9473
452,RPA2,6118
453,SMPDL3B,27293
454,XKR8,55113
455,EYA3,2140
456,PTAFR,5724
457,DNAJC8,22826
458,ATPIF1,93974
459,SESN2,83667
460,MED18,54797
461,PHACTR4,65979
462,SNHG3,8420
463,RCC1,1104
464,SNORA73B,6081
465,TRNAU1AP,54952
466,SNHG12,85028
467,SNORA61,677838
468,SNORA44,677825
469,SNORA16A,692073
470,RAB42,115273
471,TAF12,6883
472,RNU11,26824
473,GMEB1,10691
474,YTHDF2,51441
475,OPRD1,4985
476,EPB41,2035
477,TMEM200B,399474
478,SRSF4,6429
479,MECR,51102
480,PTPRU,10076
481,LOC101928460,101928460
482,LOC101929406,101929406
483,MATN1,4146
484,MATN1-AS1,100129196
485,LAPTM5,7805
486,SDC3,9672
487,PUM1,9698
488,NKAIN1,79570
489,SNRNP40,9410
490,ZCCHC17,51538
491,FABP3,2170
492,SERINC2,347735
493,LINC01225,149086
494,LINC01226,284551
495,TINAGL1,64129
496,HCRTR1,3061
497,PEF1,553115
498,COL16A1,1307
499,ADGRB2,576
500,SPOCD1,90853
501,PTP4A2,8073
502,KHDRBS1,10657
503,TMEM39B,55116
504,KPNA6,23633
505,TXLNA,200081
506,CCDC28B,79140
